Brand;Nama;Harga;Sillage;Projection;Longevity;Keluarga Aroma;;;;;;;;
HMNS;Alpha;Rp320,000,-;Medium-strong;2-3 m;3-4 hours;Woody;;;;;;;;
HMNS;Farhampton;Rp369,000,-;Medium-strong;±2m;6-8 hours;Fougere;;;;;;;;
HMNS;Addict;Rp369,000,-;Medium;±2 m;±6 hours;Gourmand;;;;;;;;
HMNS;ORGSM;Rp323,000,-;Medium;±2 m;±6 hours;Floral;;;;;;;;
HMNS;Darker Shade of ORGSM;Rp380,000,-;Medium;±1.5 m;5-6 hours;Oriental;;;;;;;;
HMNS;Melting Temptation ORGSM;Rp380,000,-;Medium-strong;±1.5 m;5-6 hours;Gourmand;;;;;;;;
HMNS;Essence of the Sun;Rp369,000,-;Medium-strong;±2m;±7 hours;Floral;;;;;;;;
HMNS;Unrosed;Rp374,000,-;Medium;±2 m;±6 hours;Floral;;;;;;;;
HMNS;Unpatched;Rp398,000,-;Medium;1.5-2 m;5-6 hours;Gourmand;;;;;;;;
HMNS;City of Hope;Rp490,000,-;Medium;3-4 m;5-6 hours;Floral;;;;;;;;
HMNS;Scent of Gods;Rp490,000,-;Medium;3-4 m;5-6 hours;Floral;;;;;;;;
HMNS;The Perfection;Rp398,000,-;Medium;±2 m;4-6 hours;Fougere;;;;;;;;
HMNS;The Prestige;Rp398,000,-;Medium;1.5-2m;±5 hours;Woody;;;;;;;;
HMNS;Untitled Humans Aroma 01;Rp395,000,-;Medium;1.5-2 m;4-5 hours;Woody;;;;;;;;
HMNS;Untitled Humans Aroma 02;Rp385,000,-;Medium-strong;1.5-2 m;4-5 hours;Floral;;;;;;;;
HMNS;Elea;Rp185,000,-;Medium;1-1.5 m;2-3 hours;Floral;;;;;;;;
HMNS;Philea;Rp385,000,-;Medium-strong;1.5-2 m;6-8 hours;Floral;;;;;;;;
HMNS;SORE Žena;Rp185,000,-;Medium;1-1.5 m;4-6 hours;Gourmand;;;;;;;;
HMNS;SORE Eterna;Rp385,000,-;Medium-strong;1.5-2 m;6-8 hours;Floral;;;;;;;;
HMNS;My 1st O;Rp139,000,-;Medium;1-2 m;2-3 hours;Floral;;;;;;;;
HMNS;Drops of Sunshine;Rp145,000,-;Medium;1-2 m;2-3 hours;Floral;;;;;;;;
HMNS;Another Rose;Rp195,000,-;Medium;1.5-2 m;2-4 hours;Floral;;;;;;;;
HMNS;Darker Shade of O;Rp195,000,-;Medium;1.5-2 m;2-4 hours;Oriental;;;;;;;;
HMNS;Alpha Hyper Green;Rp525,000,-;Strong;2-3 m;8-12+ hours;Fougere;;;;;;;;
HMNS;O Hyper Bloom;Rp525,000,-;Strong;2-3 m;8-12+ hours;Oriental;;;;;;;;
HMNS;EoS Hyper Nova;Rp525,000,-;Strong;2-3 m;8-12+ hours;Floral;;;;;;;;
Mykonos;Reflection Extrait de Parfum;Rp299.000,00;Medium-strong;1.5-2 m;4-6 hours (skin), lebih lama di baju;Citrus Aromatic;;;;;;;;
Mykonos;Monaco Royale Extrait de Parfum;Rp299.000,00;Medium;1.5-2 m;6-8 hours;Floral Fruity;;;;;;;;
Mykonos;California Blue Extrait de Parfum;Rp299.000,00;Medium-strong;1.5-2 m;6-8 hours;Fresh Aquatic;;;;;;;;
Mykonos;Dreamscape Extrait de Parfum;Rp299.000,00;Medium;1.5-2 m;6-8+ hours;Floral Fruity Gourmand;;;;;;;;
Mykonos;Sorrento Extrait de Parfum;Rp299.000,00;Medium;1-1.5 m;5-7 hours;Citrus Aromatic;;;;;;;;
Mykonos;Glitch Extrait de Parfum;Rp299.000,00;Medium;1.5-2 m;6-8 hours;Woody Aromatic / Spicy;;;;;;;;
Mykonos;California Extrait de Parfum;Rp299.000,00;Medium-strong;1.5-2 m;6-8 hours;Aromatic Fougere;;;;;;;;
Mykonos;Penthouse Extrait de Parfum;Rp299.000,00;Medium;1.5-2 m;6-8 hours;Amber Floral / Woody;;;;;;;;
