Brand,Nama,Harga,Sillage,Projection,Longevity,Keluarga Aroma
HMNS,Alpha,320000,4,4,1,Woody
HMNS,Farhampton,369000,4,3,3,Fougere
HMNS,Addict,369000,3,3,2,Gourmand
HMNS,ORGSM,323000,3,3,2,Floral
HMNS,Darker Shade of ORGSM,380000,3,2,2,Oriental
HMNS,Melting Temptation ORGSM,380000,4,2,2,Gourmand
HMNS,Essence of the Sun,369000,4,3,3,Floral
HMNS,Unrosed,374000,3,3,2,Floral
HMNS,Unpatched,398000,3,3,2,Gourmand
HMNS,City of Hope,490000,3,5,2,Floral
HMNS,Scent of Gods,490000,3,5,2,Floral
HMNS,The Perfection,398000,3,3,2,Fougere
HMNS,The Prestige,398000,3,3,2,Woody
HMNS,Untitled Humans Aroma 01,395000,3,3,2,Woody
HMNS,Untitled Humans Aroma 02,385000,4,3,2,Floral
HMNS,Elea,185000,3,2,1,Floral
HMNS,Philea,385000,4,3,3,Floral
HMNS,SORE Žena,185000,3,2,2,Gourmand
HMNS,SORE Eterna,385000,4,3,3,Floral
HMNS,My 1st O,139000,3,2,1,Floral
HMNS,Drops of Sunshine,145000,3,2,1,Floral
HMNS,Another Rose,195000,3,3,1,Floral
HMNS,Darker Shade of O,195000,3,3,1,Oriental
HMNS,Alpha Hyper Green,525000,5,4,4,Fougere
HMNS,O Hyper Bloom,525000,5,4,4,Oriental
HMNS,EoS Hyper Nova,525000,5,4,4,Floral
Mykonos,Reflection Extrait de Parfum,299000,4,3,2,Citrus Aromatic
Mykonos,Monaco Royale Extrait de Parfum,299000,3,3,3,Floral Fruity
Mykonos,California Blue Extrait de Parfum,299000,4,3,3,Fresh Aquatic
Mykonos,Dreamscape Extrait de Parfum,299000,3,3,3,Floral Fruity Gourmand
Mykonos,Sorrento Extrait de Parfum,299000,3,2,2,Citrus Aromatic
Mykonos,Glitch Extrait de Parfum,299000,3,3,3,Woody Aromatic / Spicy
Mykonos,California Extrait de Parfum,299000,4,3,3,Aromatic Fougere
Mykonos,Penthouse Extrait de Parfum,299000,3,3,3,Amber Floral / Woody
Mykonos,Royal Ispahan Extrait de Parfum,299000,4,3,3,Floral Gourmand
Mykonos,Conquer Extrait de Parfum,499000,4,4,3,Amber / Oriental
Mykonos,Inception Extrait de Parfum,299000,4,3,3,Floral Fruity Gourmand
Mykonos,Crimson Extrait de Parfum,499000,3,3,3,Oriental Spicy
Mykonos,Enchanted Extrait de Parfum,299000,4,3,2,Floral Musk
Mykonos,Slow Living EDP,299000,3,2,3,Citrus Aromatic
Mykonos,Silent Whisper Extrait de Parfum,299000,3,2,3,Oriental Floral
Mykonos,Mayfair Extrait de Parfum,499000,3,3,3,Woody Aromatic
Mykonos,Baby Love EDP,299000,3,2,2,Powdery / Floral Musk
Mykonos,Satin Blanc Extrait de Parfum,499000,4,3,3,White Floral / Amber
Mykonos,Aphrodite Extrait de Parfum,299000,3,3,3,Amber Floral
Mykonos,Affair Extrait de Parfum,499000,4,3,3,Warm Spicy / Oriental
Mykonos,Reflection Elixir Extrait de Parfum,299000,4,3,3,Citrus Aromatic / Woody
Mykonos,Dark Secret Extrait de Parfum,499000,3,3,3,Oriental Gourmand
Mykonos,Sparkling Rosé Extrait de Parfum,499000,3,3,2,Floral Fruity
Kahf,Spicestone Extrait de Parfum,332500,4,3,4,Gourmand / Spicy
Kahf,Ambremusc Extrait de Parfum,332500,4,3,3,Floral / Musky
Kahf,Mineralwave Extrait de Parfum,346500,3,3,4,Woody / Mineral
Kahf,Neofougere Extrait de Parfum,332500,4,3,2,Fougere
Kahf,Revered Oud Eau de Parfum,285000,4,3,4,Woody / Oriental
Kahf,Saffron Oud Eau de Parfum,285000,3,2,3,Woody / Spicy
Kahf,Humbling Forest Eau de Parfum,290000,3,3,4,Woody / Amber
Kahf,Invigorating Waterfall Eau de Parfum,240000,3,2,2,Aquatic / Fresh
Saff & Co,Eulalie,249000,4,3,3,"Floral, Fruity, Ambery"
Saff & Co,Kie-raha,249000,3,2,3,"Ambery, Aromatic"
Saff & Co,Rae-nira,249000,4,3,3,"Oriental, Woody, Ambery"
Saff & Co,S.O.F.R,221600,3,2,3,"Floral, Woody, Ambery"
Saff & Co,Kirithra,230500,4,3,3,"Floral, Woody, Ambery"
Saff & Co,Morfosia,225900,3,2,3,"Citrus, Floral, Woody"
Saff & Co,Irai-leima,230500,3,2,3,"Floral, Powdery, Musky"
Saff & Co,Maleali,204300,4,3,3,"Spicy, Woody, Musky"
Saff & Co,Minouet,213700,3,3,3,"Floral, Ambery, Gourmand"
Saff & Co,Las Pozas,187100,3,2,3,"Green, Floral, Woody"
Saff & Co,Solaris,239000,4,3,3,"Green, Floral, Woody / Floral Woody Musk"
Saff & Co,Ostara,229000,3,3,3,"Floral, Fruity, Chypre"
Saff & Co,Loui,178900,3,2,2,"Floral, Fresh, Musky"
Saff & Co,S.O.T.B,239500,5,3,3,"Floral, Woody, Oriental"
Saff & Co,Coco,195900,3,3,3,"Citrus, Woody, Balsamic"
Saff & Co,Saff,239500,4,3,2,Oriental Spicy / Woody (Saffron + Leather)
